Fecha,Potencia (MW)
1970-01-01,53.1
1970-02-01,55.1
1970-03-01,53.55
1970-04-01,53.7
1970-05-01,55.9
1970-06-01,54.6
1970-07-01,55.2
1970-08-01,51.8
1970-09-01,54.4
1970-10-01,55.7
1970-11-01,57.2
1970-12-01,57.2
1971-01-01,57.4
1971-02-01,59.6
1971-03-01,59.7
1971-04-01,60.8
1971-05-01,59.9
1971-06-01,60.0
1971-07-01,59.4
1971-08-01,59.5
1971-09-01,60.5
1971-10-01,62.2
1971-11-01,66.0
1971-12-01,66.1
1972-01-01,63.2
1972-02-01,64.2
1972-03-01,68.0
1972-04-01,63.7
1972-05-01,63.6
1972-06-01,64.6
1972-07-01,62.8
1972-08-01,62.1
1972-09-01,62.4
1972-10-01,65.2
1972-11-01,68.8
1972-12-01,67.7
1973-01-01,66.2
1973-02-01,66.6
1973-03-01,67.9
1973-04-01,68.8
1973-05-01,69.6
1973-06-01,70.5
1973-07-01,70.5
1973-08-01,68.2
1973-09-01,69.6
1973-10-01,71.5
1973-11-01,72.8
1973-12-01,76.6
1974-01-01,75.8
1974-02-01,78.2
1974-03-01,78.3
1974-04-01,80.04
1974-05-01,79.3
1974-06-01,81.7
1974-07-01,81.0
1974-08-01,76.6
1974-09-01,78.9
1974-10-01,84.2
1974-11-01,84.6
1974-12-01,85.1
1975-01-01,83.8
1975-02-01,86.6
1975-03-01,88.2
1975-04-01,88.7
1975-05-01,90.4
1975-06-01,89.1
1975-07-01,89.6
1975-08-01,88.6
1975-09-01,89.2
1975-10-01,95.9
1975-11-01,98.3
1975-12-01,99.1
1976-01-01,96.8
1976-02-01,99.0
1976-03-01,98.3
1976-04-01,98.0
1976-05-01,98.3
1976-06-01,85.6
1976-07-01,94.75
1976-08-01,98.2
1976-09-01,97.9
1976-10-01,102.9
1976-11-01,107.4
1976-12-01,110.4
1977-01-01,108.0
1977-02-01,110.8
1977-03-01,117.4
1977-04-01,114.4
1977-05-01,117.4
1977-06-01,117.2
1977-07-01,115.9
1977-08-01,117.1
1977-09-01,120.3
1977-10-01,124.0
1977-11-01,124.8
1977-12-01,126.7
1978-01-01,126.1
1978-02-01,130.1
1978-03-01,133.9
1978-04-01,128.1
1978-05-01,131.5
1978-06-01,129.7
1978-07-01,128.4
1978-08-01,126.8
1978-09-01,127.3
1978-10-01,131.7
1978-11-01,134.4
1978-12-01,134.1
1979-01-01,135.9
1979-02-01,136.6
1979-03-01,139.5
1979-04-01,135.8
1979-05-01,139.7
1979-06-01,138.6
1979-07-01,138.6
1979-08-01,138.7
1979-09-01,139.5
1979-10-01,144.2
1979-11-01,147.5
1979-12-01,148.2
1980-01-01,148.3
1980-02-01,149.7
1980-03-01,150.4
1980-04-01,156.9
1980-05-01,156.2
1980-06-01,158.8
1980-07-01,151.0
1980-08-01,149.3
1980-09-01,151.3
1980-10-01,158.8
1980-11-01,163.8
1980-12-01,162.0
1981-01-01,163.1
1981-02-01,163.6
1981-03-01,159.3
1981-04-01,160.4
1981-05-01,160.6
1981-06-01,164.3
1981-07-01,165.4
1981-08-01,157.2
1981-09-01,162.6
1981-10-01,167.7
1981-11-01,169.2
1981-12-01,171.2
1982-01-01,169.5
1982-02-01,170.6
1982-03-01,177.8
1982-04-01,174.1
1982-05-01,175.1
1982-06-01,180.5
1982-07-01,174.9
1982-08-01,167.9
1982-09-01,174.4
1982-10-01,178.9
1982-11-01,180.0
1982-12-01,183.6
1983-01-01,180.1
1983-02-01,180.0
1983-03-01,183.3
1983-04-01,184.0
1983-05-01,186.9
1983-06-01,183.4
1983-07-01,183.5
1983-08-01,180.1
1983-09-01,178.8
1983-10-01,184.9
1983-11-01,189.7
1983-12-01,194.1
1984-01-01,189.7
1984-02-01,196.1
1984-03-01,193.6
1984-04-01,192.8
1984-05-01,194.6
1984-06-01,196.8
1984-07-01,193.8
1984-08-01,193.1
1984-09-01,192.7
1984-10-01,197.5
1984-11-01,203.6
1984-12-01,201.5
1985-01-01,205.0
1985-02-01,208.3
1985-03-01,208.5
1985-04-01,201.7
1985-05-01,203.5
1985-06-01,201.5
1985-07-01,205.0
1985-08-01,197.1
1985-09-01,206.9
1985-10-01,216.2
1985-11-01,219.5
1985-12-01,217.6
1986-01-01,219.2
1986-02-01,222.6
1986-03-01,222.4
1986-04-01,221.8
1986-05-01,223.7
1986-06-01,230.1
1986-07-01,219.4
1986-08-01,215.3
1986-09-01,214.2
1986-10-01,228.1
1986-11-01,235.3
1986-12-01,235.7
1987-01-01,232.9
1987-02-01,232.8
1987-03-01,233.2
1987-04-01,236.3
1987-05-01,235.4
1987-06-01,234.6
1987-07-01,227.9
1987-08-01,225.3
1987-09-01,227.0
1987-10-01,241.1
1987-11-01,241.8
1987-12-01,244.5
1988-01-01,244.6
1988-02-01,242.8
1988-03-01,244.2
1988-04-01,249.6
1988-05-01,246.7
1988-06-01,246.1
1988-07-01,246.7
1988-08-01,236.9
1988-09-01,235.2
1988-10-01,252.0
1988-11-01,253.8
1988-12-01,257.4
1989-01-01,252.8
1989-02-01,252.15
1989-03-01,250.55
1989-04-01,256.0
1989-05-01,259.2
1989-06-01,251.4
1989-07-01,255.0
1989-08-01,245.9
1989-09-01,249.9
1989-10-01,261.1
1989-11-01,270.65
1989-12-01,267.4
1990-01-01,255.4
1990-02-01,265.4
1990-03-01,267.7
1990-04-01,265.0
1990-05-01,268.3
1990-06-01,269.5
1990-07-01,263.75
1990-08-01,258.8
1990-09-01,266.9
1990-10-01,278.0
1990-11-01,288.2
1990-12-01,289.1
1991-01-01,284.6
1991-02-01,282.4
1991-03-01,287.1
1991-04-01,286.9
1991-05-01,289.8
1991-06-01,289.7
1991-07-01,287.7
1991-08-01,282.7
1991-09-01,282.35
1991-10-01,302.9
1991-11-01,305.3
1991-12-01,310.8
1992-01-01,314.0
1992-02-01,310.1
1992-03-01,299.9
1992-04-01,300.25
1992-05-01,308.6
1992-06-01,305.2
1992-07-01,300.4
1992-08-01,304.5
1992-09-01,295.4
1992-10-01,301.6
1992-11-01,298.5
1992-12-01,296.2
1993-01-01,297.7
1993-02-01,305.5
1993-03-01,310.1
1993-04-01,309.1
1993-05-01,302.4
1993-06-01,306.3
1993-07-01,298.5
1993-08-01,290.6
1993-09-01,297.6
1993-10-01,310.4
1993-11-01,318.3
1993-12-01,319.2
1994-01-01,318.0
1994-02-01,320.6
1994-03-01,327.0
1994-04-01,326.1
1994-05-01,325.6
1994-06-01,330.6
1994-07-01,316.3
1994-08-01,313.2
1994-09-01,322.1
1994-10-01,344.7
1994-11-01,346.8
1994-12-01,353.4
1995-01-01,352.4
1995-02-01,347.4
1995-03-01,329.5
1995-04-01,341.3
1995-05-01,342.9
1995-06-01,342.8
1995-07-01,342.3
1995-08-01,342.3
1995-09-01,348.5
1995-10-01,335.6
1995-11-01,377.1
1995-12-01,392.6
1996-01-01,375.8
1996-02-01,371.6
1996-03-01,380.1
1996-04-01,380.6
1996-05-01,386.2
1996-06-01,385.1
1996-07-01,380.4
1996-08-01,371.2
1996-09-01,386.3
1996-10-01,399.1
1996-11-01,408.9
1996-12-01,407.15
1997-01-01,399.9
1997-02-01,394.7
1997-03-01,401.1
1997-04-01,410.7
1997-05-01,413.6
1997-06-01,403.7
1997-07-01,400.05
1997-08-01,396.8
1997-09-01,408.35
1997-10-01,431.9
1997-11-01,431.6
1997-12-01,439.65
1998-01-01,440.65
1998-02-01,436.6
1998-03-01,439.96
1998-04-01,442.1
1998-05-01,443.68
1998-06-01,446.22
1998-07-01,437.1
1998-08-01,435.0
1998-09-01,436.9
1998-10-01,436.7
1998-11-01,437.58
1998-12-01,440.7
1999-01-01,426.58
1999-02-01,429.2
1999-03-01,427.15
1999-04-01,412.8
1999-05-01,422.32
1999-06-01,419.52
1999-07-01,415.65
1999-08-01,410.6
1999-09-01,424.88
1999-10-01,428.8
1999-11-01,439.55
1999-12-01,442.91
2000-01-01,423.83
2000-02-01,430.1
2000-03-01,433.36
2000-04-01,430.5
2000-05-01,430.48
2000-06-01,429.12
2000-07-01,434.92
2000-08-01,422.7
2000-09-01,431.6
2000-10-01,446.0
2000-11-01,447.9
2000-12-01,450.1
2001-01-01,444.6
2001-02-01,447.17
2001-03-01,451.43
2001-04-01,456.46
2001-05-01,451.42
2001-06-01,454.39
2001-07-01,450.19
2001-08-01,441.53
2001-09-01,460.67
2001-10-01,455.05
2001-11-01,456.2
2001-12-01,453.69
2002-01-01,468.47
2002-02-01,467.5
2002-03-01,465.19
2002-04-01,468.59
2002-05-01,472.59
2002-06-01,467.13
2002-07-01,464.98
2002-08-01,460.01
2002-09-01,475.37
2002-10-01,489.83
2002-11-01,492.41
2002-12-01,505.34
2003-01-01,484.33
2003-02-01,490.45
2003-03-01,486.06
2003-04-01,485.6
2003-05-01,482.85
2003-06-01,486.62
2003-07-01,473.91
2003-08-01,471.4
2003-09-01,486.22
2003-10-01,498.26
2003-11-01,506.02
2003-12-01,512.86
2004-01-01,503.77
2004-02-01,502.03
2004-03-01,510.61
2004-04-01,512.82
2004-05-01,509.89
2004-06-01,506.19
2004-07-01,500.65
2004-08-01,494.39
2004-09-01,515.07
2004-10-01,518.99
2004-11-01,529.68
2004-12-01,538.46
2005-01-01,528.34
2005-02-01,527.043
2005-03-01,527.342
2005-04-01,527.0889999999999
2005-05-01,533.11
2005-06-01,533.583
2005-07-01,518.79
2005-08-01,519.653
2005-09-01,537.648
2005-10-01,525.249
2005-11-01,538.693
2005-12-01,551.275
2006-01-01,529.392
2006-02-01,537.0440000000001
2006-03-01,539.057
2006-04-01,539.145
2006-05-01,547.846
2006-06-01,540.362
2006-07-01,532.574
2006-08-01,527.844
2006-09-01,546.2433000000001
2006-10-01,557.44
2006-11-01,554.2239999999999
2006-12-01,561.538
2007-01-01,558.986
2007-02-01,556.2009999999999
2007-03-01,549.4110000000001
2007-04-01,554.806
2007-05-01,558.192
2007-06-01,553.759
2007-07-01,548.682
2007-08-01,542.425
2007-09-01,566.781
2007-10-01,576.736
2007-11-01,580.254892
2007-12-01,589.71
2008-01-01,570.81
2008-02-01,569.948
2008-03-01,570.825
2008-04-01,581.2090000000001
2008-05-01,580.2455
2008-06-01,576.803
2008-07-01,564.3
2008-08-01,580.68
2008-09-01,594.06
2008-10-01,604.53
2008-11-01,615.26
2008-12-01,601.31
2009-01-01,606.16
2009-02-01,600.66
2009-03-01,608.1
2009-04-01,604.05
2009-05-01,612.3620000000001
2009-06-01,608.37
2009-07-01,594.07
2009-08-01,593.66
2009-09-01,622.29
2009-10-01,624.54
2009-11-01,625.05
2009-12-01,628.79
2010-01-01,591.64
2010-02-01,592.77
2010-03-01,614.56
2010-04-01,606.09
2010-05-01,612.91
2010-06-01,607.69
2010-07-01,595.12
2010-08-01,604.5
2010-09-01,621.73
2010-10-01,631.52
2010-11-01,634.88
2010-12-01,647.04
2011-01-01,634.17
2011-02-01,631.73
2011-03-01,634.44
2011-04-01,634.27
2011-05-01,630.82
2011-06-01,628.86
2011-07-01,616.76
2011-08-01,622.35
2011-09-01,638.41
2011-10-01,643.92
2011-11-01,656.64
2011-12-01,663.45
2012-01-01,646.3000000000001
2012-02-01,648.3000000000001
2012-03-01,657.13
2012-04-01,651.76
2012-05-01,657.3500000000001
2012-06-01,665.19
2012-07-01,643.53
2012-08-01,640.36
2012-09-01,654.81
2012-10-01,660.94
2012-11-01,662.26
2012-12-01,685.49
2013-01-01,685.13
2013-02-01,676.14
2013-03-01,687.11
2013-04-01,691.31
2013-05-01,690.41
2013-06-01,699.72
2013-07-01,681.33
2013-08-01,678.1
2013-09-01,682.4070415313128
2013-10-01,687.4328571934243
2013-11-01,707.78
2013-12-01,713.0643178745636
2014-01-01,697.0300000000001
2014-02-01,702.84
2014-03-01,701.5999999999999
2014-04-01,708.39
2014-05-01,710.8299999999999
2014-06-01,709.95
2014-07-01,693.07
2014-08-01,687.94
2014-09-01,705.43
2014-10-01,721.48
2014-11-01,721.07
2014-12-01,683.13
2015-01-01,735.3
2015-02-01,724.9942229999999
2015-03-01,718.99
2015-04-01,732.68
2015-05-01,730.0550524800998
2015-06-01,720.6
2015-07-01,722.0662544631879
2015-08-01,716.0025029702971
2015-09-01,734.7647128712871
2015-10-01,739.5
2015-11-01,740.0
2015-12-01,730.0
2016-01-01,694.73
2016-02-01,720.540456
2016-03-01,702.710228
2016-04-01,697.557904
2016-05-01,722.5671279999999
2016-06-01,711.492568
2016-07-01,693.77
2016-08-01,702.45
2016-09-01,707.01
2016-10-01,718.78
2016-11-01,725.14
2016-12-01,705.59
2017-01-01,726.04
2017-02-01,721.25
2017-03-01,734.73
2017-04-01,719.49
2017-05-01,729.28
2017-06-01,708.3
2017-07-01,725.79
2017-08-01,708.4864110199998
2017-09-01,709.6
2017-10-01,717.6
2017-11-01,714.94
2017-12-01,750.78
2018-01-01,750.927
2018-02-01,747.099
2018-03-01,754.876
2018-04-01,746.291
2018-05-01,741.254
2018-06-01,745.113
2018-07-01,728.125
2018-08-01,738.6015
2018-09-01,749.078
2018-10-01,723.3619320000001
2018-11-01,716.857668
2018-12-01,725.9037
2019-01-01,712.377086134532
2019-02-01,708.391322134532
2019-03-01,706.1494480000002
2019-04-01,709.0584180071683
2019-05-01,707.2056300071683
2019-06-01,710.8821220071684
2019-07-01,692.36
2019-08-01,687.71
2019-09-01,709.99
2019-10-01,701.7029519999998
2019-11-01,715.3709039607407
2019-12-01,707.058
2020-01-01,702.894745428756
2020-02-01,706.28
2020-03-01,702.863272
2020-04-01,689.410184
2020-05-01,675.957096
2020-06-01,662.5040079999999
2020-07-01,659.9482959999999
2020-08-01,669.983512
2020-09-01,682.6582079999998
2020-10-01,690.0359119999998
2020-11-01,676.2069000000001
2020-12-01,688.6654599999998
2021-01-01,678.5488400000003
2021-02-01,681.647672
2021-03-01,689.423
2021-04-01,682.49
2021-05-01,672.7926212728496
2021-06-01,681.5707584166665
2021-07-01,672.9448000000001
2021-08-01,672.7802671827956
2021-09-01,689.321508
2021-10-01,688.561384
2021-11-01,699.08
2021-12-01,705.9087880000002
2022-01-01,690.004136
2022-02-01,689.98
2022-03-01,697.3591610000002
2022-04-01,695.3607400000001
2022-05-01,699.78
2022-06-01,693.6579680000002
2022-07-01,686.435948
2022-08-01,680.72
2022-09-01,698.13
2022-10-01,703.32
2022-11-01,706.56
2022-12-01,707.9283760000001
2023-01-01,705.46
2023-02-01,701.5
2023-03-01,716.0
2023-04-01,710.48
2023-05-01,709.29
2023-06-01,707.72
2023-07-01,698.44
2023-08-01,710.13
2023-09-01,710.38
2023-10-01,710.12
2023-11-01,721.05
2023-12-01,730.75
2024-01-01,724.59
2024-02-01,714.41
2024-03-01,721.31
2024-04-01,737.42
2024-05-01,720.38
2024-06-01,729.98
2024-07-01,709.84
2024-08-01,709.4
2024-09-01,725.96
2024-10-01,727.08
2024-11-01,727.08
2024-12-01,727.08
